\item $\displaystyle \int \left(3x^2-60x+336\right)\sqrt[4]{(x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-48x-74\right)\sqrt[4]{(2x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+2x+8\right)\sqrt{x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2+12x+36\right)\sqrt[4]{(x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-8x-2\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-96x+128\right)\sqrt[3]{3x-8}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-60x+100\right)\sqrt[3]{(3x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-30\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-4x-7\right)\sqrt[4]{2x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x-1\right)\sqrt[4]{2x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2+162x+288\right)\sqrt{3x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2+36x+6\right)\sqrt[4]{(3x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+40x+218\right)\sqrt[3]{(x+10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+48x+50\right)\sqrt{(2x+6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-15\right)\sqrt[4]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+48x-72\right)\sqrt{2x-6}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-56x+70\right)\sqrt[4]{2x-7}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-80x-218\right)\sqrt{(2x+10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+20\right)\sqrt{(2x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+6x+3\right)\sqrt[3]{(3x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-4x-10\right)\sqrt{(x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+108x-234\right)\sqrt[4]{2x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+28x+102\right)\sqrt{(x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x-7\right)\sqrt[3]{(2x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-8x-4\right)\sqrt[4]{2x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+42x+56\right)\sqrt{(3x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-14\right)\sqrt[4]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+6x+3\right)\sqrt[3]{x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+32x+59\right)\sqrt[3]{2x+8}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-72x-48\right)\sqrt{(3x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+19\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+24x+80\right)\sqrt[4]{(x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-48x+64\right)\sqrt{(3x-8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+36x+81\right)\sqrt{2x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-4x-1\right)\sqrt[4]{2x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-7\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+16x+16\right)\sqrt{x+4}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2+12x-4\right)\sqrt[3]{3x-1}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+28x-49\right)\sqrt[3]{(2x-7)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x+1\right)\sqrt[3]{2x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+12x-12\right)\sqrt[4]{(x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-54x-27\right)\sqrt[3]{(3x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+56x+82\right)\sqrt{2x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-8x^2-2\right)\sqrt[3]{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x+16\right)\sqrt{2x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-40x+101\right)\sqrt[3]{(2x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-10x+32\right)\sqrt[4]{x-5}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+42x+49\right)\sqrt{(3x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+9\right)\sqrt[3]{(2x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2+27\right)\sqrt{3x}\, \, dx =\cdots $
\item $\displaystyle \int \left(12x^2+24x+6\right)\sqrt[3]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2+20x-60\right)\sqrt{x-5}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2\right)\sqrt[4]{(3x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-20x+17\right)\sqrt[4]{2x-5}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+8\right)\sqrt[4]{3x}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-24x+36\right)\sqrt[4]{(2x-6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+2x-4\right)\sqrt[4]{(x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-80x-196\right)\sqrt[3]{2x+10}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+72x+108\right)\sqrt{(2x+6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+36\right)\sqrt[3]{(x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-12\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-60x+108\right)\sqrt[4]{(3x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+56x+68\right)\sqrt{2x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2-6x+16\right)\sqrt{(3x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+2x+1\right)\sqrt{x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+24x+72\right)\sqrt{x+6}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+32x+77\right)\sqrt{(2x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-36x+182\right)\sqrt[4]{x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-108x-246\right)\sqrt{2x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+8\right)\sqrt[4]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+13\right)\sqrt[4]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+10\right)\sqrt{(3x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+108x-246\right)\sqrt{2x-9}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2-6x+1\right)\sqrt[3]{(3x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-54x-87\right)\sqrt[3]{(3x+9)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-12x+23\right)\sqrt[3]{(x-6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2\right)\sqrt[4]{x}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-24x-51\right)\sqrt[3]{2x+6}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-42x+49\right)\sqrt{(3x-7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-24\right)\sqrt{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+72x+146\right)\sqrt[4]{(2x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-96x-228\right)\sqrt[4]{2x+8}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-60x-100\right)\sqrt{(3x+10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-2x+11\right)\sqrt[3]{(x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+32x+62\right)\sqrt{(2x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+16x+16\right)\sqrt{(2x+4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-28x+49\right)\sqrt{2x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2-24x+6\right)\sqrt{3x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-24x-39\right)\sqrt{2x+6}\, \, dx =\cdots $
\item $\displaystyle \int \left(-2x^2+16x-34\right)\sqrt{(x-4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-4x-3\right)\sqrt[3]{2x-1}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-42x-46\right)\sqrt[3]{3x+7}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-24x+44\right)\sqrt[3]{(2x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-80x+200\right)\sqrt{(2x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+10\right)\sqrt[4]{(x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2-12x-32\right)\sqrt{(x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2\right)\sqrt{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-20x-25\right)\sqrt[4]{(2x+5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-12\right)\sqrt[4]{(x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-2x-6\right)\sqrt[4]{(x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-12x+8\right)\sqrt[3]{(3x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2\right)\sqrt[3]{3x}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-16x+10\right)\sqrt[3]{2x-2}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+6\right)\sqrt{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+30x+25\right)\sqrt{(3x+5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+6x+2\right)\sqrt{(3x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-30x-15\right)\sqrt[4]{(3x+5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+12x+2\right)\sqrt[4]{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-60x-100\right)\sqrt[3]{(3x+10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-6\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(27x^2+18x+6\right)\sqrt[3]{(3x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+33\right)\sqrt{x}\, \, dx =\cdots $
\item $\displaystyle \int \left(-8x^2-16x+2\right)\sqrt{(2x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-14x+52\right)\sqrt[3]{(x-7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+14x+49\right)\sqrt[3]{(x+7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-80x-202\right)\sqrt{2x+10}\, \, dx =\cdots $
\item $\displaystyle \int \left(-12x^2+12x-6\right)\sqrt[3]{(2x-1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-12x+3\right)\sqrt[3]{2x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+32x+65\right)\sqrt{(2x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+22\right)\sqrt{(x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+9\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+12x\right)\sqrt[4]{(2x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+18x+20\right)\sqrt{(3x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+60x-85\right)\sqrt[3]{(3x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2+126x+126\right)\sqrt{3x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-32x+64\right)\sqrt[4]{(2x-8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+48x+192\right)\sqrt[3]{(x+8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+42x+114\right)\sqrt[3]{(x+7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+6x+20\right)\sqrt{(x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-20\right)\sqrt[4]{(x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2+60x-297\right)\sqrt{(x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-16x+78\right)\sqrt{x-8}\, \, dx =\cdots $
\item $\displaystyle \int \left(-8x^2-72x-160\right)\sqrt[4]{(2x+9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+30\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(3x^2+60x+327\right)\sqrt{(x+10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x-6\right)\sqrt[3]{(x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+14x-62\right)\sqrt{x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-x^2-4x-7\right)\sqrt[4]{(x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+24x+4\right)\sqrt[4]{2x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+12x-5\right)\sqrt{(3x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+18x+3\right)\sqrt{3x-3}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2+6x+4\right)\sqrt[4]{(x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+6x+3\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+36x+69\right)\sqrt{(2x+9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+2x-4\right)\sqrt[3]{(x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-120x-300\right)\sqrt[3]{(2x+10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+40x-91\right)\sqrt{(2x-10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+24x+18\right)\sqrt{(3x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+36x+69\right)\sqrt[3]{2x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+8x+1\right)\sqrt{(2x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2\right)\sqrt{(x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-108x-255\right)\sqrt{2x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+16x-14\right)\sqrt{2x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(-27x^2-126x-135\right)\sqrt{3x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-2x^2+12x-26\right)\sqrt[3]{(x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x+8\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+16x+12\right)\sqrt{(2x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+54x+81\right)\sqrt[3]{3x+9}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-48x-48\right)\sqrt{(2x+4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+24x-6\right)\sqrt[4]{3x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+39\right)\sqrt[3]{(x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+28\right)\sqrt[4]{2x}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+120x+192\right)\sqrt[3]{3x+10}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+120x-210\right)\sqrt[3]{(3x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+16x-17\right)\sqrt[3]{(2x-4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+48x-90\right)\sqrt{(2x-6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+56x+126\right)\sqrt{2x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-8x-14\right)\sqrt[3]{2x-1}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-40x+110\right)\sqrt{(2x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+6x+21\right)\sqrt{(x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-40x+22\right)\sqrt{(2x-5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-4x-3\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+24x+45\right)\sqrt[4]{(2x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-32x+22\right)\sqrt[4]{(2x-4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+18x+83\right)\sqrt{x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+4x-4\right)\sqrt{x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-9\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-64x+134\right)\sqrt{(2x-8)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2-8x-26\right)\sqrt[3]{(x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-42x+36\right)\sqrt[4]{(3x-7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-144x-234\right)\sqrt{(3x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+96x+100\right)\sqrt[3]{(3x+8)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2\right)\sqrt{(3x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-60x+96\right)\sqrt{(3x-10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-8x+12\right)\sqrt{2x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+4x+1\right)\sqrt{2x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(18x^2-48x+34\right)\sqrt{(3x-4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-12x-20\right)\sqrt[3]{(2x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-60x+70\right)\sqrt[3]{3x-5}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-1\right)\sqrt[4]{(x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-32x-32\right)\sqrt[3]{(2x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-10\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-1\right)\sqrt[3]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-56x-100\right)\sqrt[3]{(2x+7)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+40x+196\right)\sqrt[4]{(x+10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2+6x-21\right)\sqrt{(x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+8x+8\right)\sqrt{(x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-8x+8\right)\sqrt[4]{(x-4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-60x+100\right)\sqrt[4]{(3x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-16x+32\right)\sqrt{x-4}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2+48x+56\right)\sqrt{3x+8}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-8x+3\right)\sqrt[3]{(2x-2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+72x+132\right)\sqrt[4]{(2x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-36x+10\right)\sqrt[3]{(3x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2+180x-261\right)\sqrt{(3x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-24x+51\right)\sqrt[4]{2x-6}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-12x-2\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-36x-50\right)\sqrt{(3x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-4x-1\right)\sqrt{(2x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-8x+9\right)\sqrt{(2x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+10x+34\right)\sqrt{(x+5)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-40x+100\right)\sqrt{2x-10}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2+12\right)\sqrt{(x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+8x+2\right)\sqrt{2x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2+12x-1\right)\sqrt{(2x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-96x+186\right)\sqrt{2x-8}\, \, dx =\cdots $
\item $\displaystyle \int \left(3x^2+48x+225\right)\sqrt{(x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-36x+6\right)\sqrt[3]{(3x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-32x+20\right)\sqrt[4]{2x-4}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-12x+45\right)\sqrt{(x-6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2-60x-288\right)\sqrt{x+10}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-72x+164\right)\sqrt[4]{(2x-9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-12x+45\right)\sqrt[3]{x-6}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+32x+64\right)\sqrt{(2x+8)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-28x+52\right)\sqrt{(2x-7)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+24x+31\right)\sqrt[4]{(2x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+32x+10\right)\sqrt{(2x+4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+4x+2\right)\sqrt[3]{(x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2-60x+300\right)\sqrt[3]{(x-10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+2\right)\sqrt[3]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-36x+84\right)\sqrt{2x-9}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2+108x-164\right)\sqrt[3]{3x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+18x+9\right)\sqrt{3x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2+6x\right)\sqrt[4]{(x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-36x+182\right)\sqrt[4]{x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-8x-4\right)\sqrt{(2x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-8x-20\right)\sqrt[3]{(x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-36x+27\right)\sqrt{(2x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-16x-8\right)\sqrt{(2x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+60x+66\right)\sqrt[4]{(3x+5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-48x+30\right)\sqrt{(2x-4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-12x+22\right)\sqrt{(2x-3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2-12x-26\right)\sqrt[3]{(x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+22\right)\sqrt[3]{(x+6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-2x-1\right)\sqrt{(x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+6x-2\right)\sqrt{(x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+12x-30\right)\sqrt{(2x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+8x+9\right)\sqrt{(2x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-84x+141\right)\sqrt{2x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2\right)\sqrt{3x}\, \, dx =\cdots $
\item $\displaystyle \int \left(-x^2+14x-37\right)\sqrt[4]{(x-7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+8x-11\right)\sqrt[4]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+7\right)\sqrt[3]{(2x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+1\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+96x-174\right)\sqrt[3]{2x-8}\, \, dx = \cdots $
