\item $\displaystyle \int \dfrac{-12x+18}{\sqrt[3]{\left(3x^2-9x-2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{27x^2+18x+3}{\sqrt{\left(3x^3+3x^2+x+18\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{99x^2-36x-18}{\sqrt[3]{\left(11x^3-6x^2-6x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-44x+12}{\sqrt[3]{\left(11x^2-6x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x+6}{\sqrt{\left(3x^2+2x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x+28}{\sqrt{\left(14x^2+7x-28\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x-22}{\sqrt[3]{\left(x^2-11x-28\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x+28}{\sqrt[5]{\left(14x^2+14x-24\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x-15}{\sqrt[5]{\left(2x^2+5x-36\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-30x^2+20x-16}{\sqrt{\left(5x^3-5x^2+8x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-54x}{\sqrt{\left(9x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x-4}{\sqrt[3]{\left(x^2-2x+28\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x+22}{\sqrt{\left(x^2-11x-22\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-56x-16}{\sqrt[4]{\left(14x^2+8x-4\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{9x^2+45}{\sqrt[5]{\left(x^3+15x+27\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x^2+56x+12}{\sqrt{\left(x^3-14x^2-6x-28\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x^2-48x-36}{\sqrt[4]{\left(4x^3-8x^2-12x+3\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x+21}{\sqrt[4]{\left(2x^2-7x+3\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x-16}{\sqrt{\left(x^2-8x-10\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x+22}{\sqrt{\left(12x^2-11x-6\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{96x+4}{\sqrt[3]{\left(12x^2+x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-32x}{\sqrt[4]{\left(4x^2+16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x}{\sqrt[5]{\left(15x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x-44}{\sqrt[3]{\left(3x^2+11x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{16x-56}{\sqrt[3]{\left(2x^2-14x+20\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2+12x}{\sqrt[5]{\left(2x^3-3x^2+6\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-32x-4}{\sqrt{\left(4x^2+x+12\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-63x^2+12}{\sqrt{\left(7x^3-4x-3\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2-4x+14}{\sqrt{\left(2x^3+x^2-7x-24\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-28}{\sqrt{\left(2x^2+14x+28\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{90x^2+48x-6}{\sqrt[3]{\left(15x^3+12x^2-3x+10\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{64x-12}{\sqrt[5]{\left(8x^2-3x-56\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-28x+18}{\sqrt{\left(7x^2-9x+4\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{90x}{\sqrt[4]{\left(15x^2+30\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x-4}{\sqrt{\left(3x^2-x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x^2+30}{\sqrt{\left(11x^3+15x+2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-18x+21}{\sqrt[3]{\left(3x^2-7x+33\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-90x^2-48x-30}{\sqrt{\left(15x^3+12x^2+15x-30\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-2}{\sqrt[4]{\left(x^2+x-24\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x}{\sqrt{\left(14x^2+10\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-32x+24}{\sqrt[5]{\left(8x^2-12x-4\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{72x-40}{\sqrt[5]{\left(9x^2-10x+20\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{72x^2+24x-8}{\sqrt{\left(6x^3+3x^2-2x-56\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x^2+8x+2}{\sqrt[3]{\left(11x^3+2x^2+x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x-18}{\sqrt[4]{\left(9x^2+9x-8\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{54x-18}{\sqrt[3]{\left(9x^2-6x+21\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-18x^2+40x-4}{\sqrt[3]{\left(3x^3-10x^2+2x-22\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-32x}{\sqrt[3]{\left(4x^2+48\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{63x^2-6x}{\sqrt[4]{\left(7x^3-x^2+36\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x+12}{\sqrt[5]{\left(9x^2+6x+2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x-18}{\sqrt[4]{\left(x^2-9x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{144x^2+40x+4}{\sqrt{\left(12x^3+5x^2+x+60\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-78x-9}{\sqrt[4]{\left(13x^2+3x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x-6}{\sqrt[3]{\left(9x^2-3x+10\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x-6}{\sqrt[4]{\left(6x^2+2x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{104x+36}{\sqrt[4]{\left(13x^2+9x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2+28x-10}{\sqrt{\left(2x^3+7x^2-5x-24\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-72x^2+24x}{\sqrt{\left(6x^3-3x^2+20\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x}{\sqrt[4]{\left(3x^2+12\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2+88x+32}{\sqrt{\left(x^3-11x^2-8x+28\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{72x-12}{\sqrt[3]{\left(12x^2-4x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x-14}{\sqrt[4]{\left(6x^2+7x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{135x^2-36x-6}{\sqrt[4]{\left(15x^3-6x^2-2x-45\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x}{\sqrt{\left(2x^2+8\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x^2}{\sqrt{\left(3x^3-2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-16x}{\sqrt[3]{\left(4x^2-16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{9x^2+66x+6}{\sqrt[4]{\left(x^3+11x^2+2x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{16x+2}{\sqrt[3]{\left(4x^2+x-24\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-8}{\sqrt{\left(2x^2+4x+24\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-78x^2-22}{\sqrt{\left(13x^3+11x-18\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x-6}{\sqrt{\left(x^2-2x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-144x^2-96x+24}{\sqrt{\left(12x^3+12x^2-6x+24\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-84x^2-12x}{\sqrt[4]{\left(14x^3+3x^2-2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2-88x-20}{\sqrt[3]{\left(x^3-11x^2-5x+56\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{52x}{\sqrt[4]{\left(13x^2+12\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-60x-14}{\sqrt[4]{\left(15x^2+7x-2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x+18}{\sqrt[4]{\left(10x^2+6x-21\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-18x^2+56x}{\sqrt{\left(3x^3-14x^2-16\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-135x^2-60x-6}{\sqrt[5]{\left(15x^3+10x^2+2x-21\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-72x^2-24x-6}{\sqrt[3]{\left(8x^3+4x^2+2x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x-16}{\sqrt[3]{\left(x^2-8x-16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-16x-60}{\sqrt{\left(2x^2+15x+56\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-126x^2-42x}{\sqrt{\left(14x^3+7x^2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x^2-24x+24}{\sqrt[4]{\left(2x^3+3x^2-6x+36\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2-16x-40}{\sqrt[5]{\left(x^3+2x^2+10x+52\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x^2-56x}{\sqrt{\left(4x^3-14x^2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2+16x-12}{\sqrt[5]{\left(x^3+2x^2-3x+52\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x-16}{\sqrt[3]{\left(14x^2-4x-44\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x^2-8x+44}{\sqrt[3]{\left(3x^3+x^2-11x+36\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{16x-24}{\sqrt[5]{\left(2x^2-6x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x+12}{\sqrt[5]{\left(3x^2+6x+12\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x^2+16x+32}{\sqrt{\left(3x^3+2x^2+8x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-6}{\sqrt{\left(x^2+3x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x}{\sqrt[5]{\left(6x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-120x+4}{\sqrt[4]{\left(15x^2-x+8\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x-48}{\sqrt[3]{\left(7x^2-12x-4\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-22}{\sqrt{\left(x^2+11x+22\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x^2+36x+30}{\sqrt{\left(11x^3+9x^2+15x-16\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2-40x-26}{\sqrt{\left(2x^3-10x^2-13x+24\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-72x+24}{\sqrt[5]{\left(9x^2-6x-36\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x^2-12}{\sqrt{\left(x^3-6x-12\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-24}{\sqrt[3]{\left(x^2+6x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{108x^2-88x+36}{\sqrt[5]{\left(9x^3-11x^2+9x+40\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x}{\sqrt{\left(12x^2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x}{\sqrt{\left(x^2+28\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-96x^2+88x}{\sqrt[3]{\left(8x^3-11x^2-16\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{84x^2+120x+52}{\sqrt[3]{\left(7x^3+15x^2+13x+16\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-54x-36}{\sqrt[3]{\left(9x^2+12x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x+8}{\sqrt{\left(x^2-2x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x^2-24x}{\sqrt[3]{\left(6x^3-6x^2+20\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x^2-16x-6}{\sqrt[5]{\left(3x^3-4x^2-3x-22\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-120x+4}{\sqrt[3]{\left(15x^2-x+8\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x+12}{\sqrt[4]{\left(3x^2+3x+48\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x+14}{\sqrt[4]{\left(x^2-7x+22\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x}{\sqrt[3]{\left(x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x^2+24x-20}{\sqrt[4]{\left(x^3-6x^2+10x+22\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-52x-6}{\sqrt[4]{\left(13x^2+3x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x^2+56x}{\sqrt[5]{\left(10x^3+14x^2-12\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-84x^2-4}{\sqrt[5]{\left(7x^3+x+48\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-45x^2-3}{\sqrt[4]{\left(5x^3+x+18\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-60x+12}{\sqrt[3]{\left(15x^2-6x+12\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{96x+4}{\sqrt[5]{\left(12x^2+x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{81x^2-12x+39}{\sqrt{\left(9x^3-2x^2+13x+3\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-44x+12}{\sqrt[5]{\left(11x^2-6x-22\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{44x+28}{\sqrt[5]{\left(11x^2+14x-14\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x-30}{\sqrt[4]{\left(2x^2-15x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x+30}{\sqrt[3]{\left(6x^2-15x+14\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-27x^2+90x-3}{\sqrt[3]{\left(3x^3-15x^2+x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x+2}{\sqrt[4]{\left(10x^2+x-10\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x}{\sqrt[4]{\left(3x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-9x^2+42x-18}{\sqrt{\left(x^3-7x^2+6x-21\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x-28}{\sqrt[4]{\left(5x^2-7x-12\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x-14}{\sqrt[3]{\left(3x^2+7x+2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-40x-32}{\sqrt{\left(5x^2+8x-60\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x^2+12x+6}{\sqrt[4]{\left(10x^3+3x^2+3x+22\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x^2-44x+2}{\sqrt[5]{\left(3x^3-11x^2+x-26\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x}{\sqrt{\left(14x^2-56\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{104x}{\sqrt{\left(13x^2+4\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x}{\sqrt[5]{\left(x^2+4\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x+27}{\sqrt[5]{\left(x^2+9x+12\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-14}{\sqrt[5]{\left(x^2+7x-18\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{16x+2}{\sqrt[4]{\left(4x^2+x+26\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-84x^2+60x+2}{\sqrt{\left(14x^3-15x^2-x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-18x}{\sqrt[5]{\left(3x^2+3\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{42x+6}{\sqrt[5]{\left(7x^2+2x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x+6}{\sqrt[4]{\left(12x^2+3x+8\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-30x-39}{\sqrt[5]{\left(5x^2+13x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-64x-36}{\sqrt[3]{\left(8x^2+9x-12\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-66x^2+12x-16}{\sqrt{\left(11x^3-3x^2+8x-2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x-21}{\sqrt{\left(4x^2-7x+15\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-168x^2-24x-4}{\sqrt{\left(14x^3+3x^2+x-56\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x^2-60x}{\sqrt{\left(11x^3-15x^2-10\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{52x+8}{\sqrt[5]{\left(13x^2+4x-10\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x+30}{\sqrt[5]{\left(3x^2-15x-2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x+12}{\sqrt[3]{\left(6x^2+3x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-78x-30}{\sqrt[3]{\left(13x^2+10x+30\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-16x+44}{\sqrt{\left(2x^2-11x+8\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x^2+4x+20}{\sqrt[5]{\left(x^3+x^2+10x+10\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{52x-16}{\sqrt[4]{\left(13x^2-8x+2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-180x^2+56x-52}{\sqrt[3]{\left(15x^3-7x^2+13x+4\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x}{\sqrt{\left(14x^2+14\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{16x-36}{\sqrt{\left(2x^2-9x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x+30}{\sqrt[3]{\left(3x^2-15x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-18x-24}{\sqrt[4]{\left(3x^2+8x-9\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x}{\sqrt[5]{\left(3x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{84x+21}{\sqrt[5]{\left(14x^2+7x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x}{\sqrt[4]{\left(9x^2-2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x^2}{\sqrt{\left(4x^3-30\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{28x}{\sqrt[5]{\left(7x^2+16\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{32x+16}{\sqrt[3]{\left(8x^2+8x+12\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-28x}{\sqrt[5]{\left(7x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x-18}{\sqrt[5]{\left(6x^2+9x-12\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-120x-56}{\sqrt{\left(15x^2+14x+48\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{32x+4}{\sqrt{\left(8x^2+2x-10\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{90x^2+3}{\sqrt[4]{\left(10x^3+x-3\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x^2}{\sqrt[3]{\left(4x^3-20\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{84x^2}{\sqrt[4]{\left(14x^3-30\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x-33}{\sqrt[3]{\left(3x^2-11x-42\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x}{\sqrt[3]{\left(3x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x-12}{\sqrt[4]{\left(3x^2-3x+44\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x^2+48x}{\sqrt{\left(6x^3-12x^2-2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-32x+32}{\sqrt{\left(4x^2-8x+56\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x+6}{\sqrt[3]{\left(12x^2-3x+24\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{44x}{\sqrt[3]{\left(11x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x-60}{\sqrt{\left(5x^2-15x+24\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{54x^2+6}{\sqrt[3]{\left(9x^3+3x+4\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-66x+21}{\sqrt{\left(11x^2-7x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x-9}{\sqrt[5]{\left(4x^2+3x-27\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x^2-8}{\sqrt{\left(8x^3+4x-24\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-84x-3}{\sqrt[3]{\left(14x^2+x-6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-156x^2+120x-40}{\sqrt[3]{\left(13x^3-15x^2+10x+28\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-66x-3}{\sqrt[4]{\left(11x^2+x-39\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{30x-21}{\sqrt[5]{\left(5x^2-7x-18\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x+30}{\sqrt[5]{\left(3x^2+15x-14\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x}{\sqrt[3]{\left(6x^2+18\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-64x+52}{\sqrt{\left(8x^2-13x-20\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x^2-36x-6}{\sqrt[4]{\left(x^3-9x^2-3x+14\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{30x^2+16x+12}{\sqrt{\left(5x^3+4x^2+6x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x+28}{\sqrt{\left(14x^2+7x+4\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{42x-21}{\sqrt[3]{\left(7x^2-7x+24\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x+4}{\sqrt[4]{\left(x^2+2x+12\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x-33}{\sqrt[5]{\left(6x^2-11x+9\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x}{\sqrt[4]{\left(x^2-24\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{180x^2+16x+32}{\sqrt[4]{\left(15x^3+2x^2+8x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{27x^2-84x+39}{\sqrt[5]{\left(3x^3-14x^2+13x+18\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x}{\sqrt{\left(10x^2-36\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x-8}{\sqrt[4]{\left(x^2-2x+28\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{28x}{\sqrt{\left(7x^2-16\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{108x^2+64x-12}{\sqrt[3]{\left(9x^3+8x^2-3x+4\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x-2}{\sqrt[5]{\left(2x^2-x+30\right)^{2}}}\, \, dx = \cdots $
